numParticles 49189
4.935657 -1.684697 -0.623948
5.714517 -1.473915 -0.134265
4.525179 -1.798586 -0.279661
5.034668 -1.688033 -1.100944
5.052102 -1.692452 -0.835286
5.130508 -1.574350 -0.653510
4.565775 -1.724013 -1.026345
4.819653 -1.682950 -1.084570
4.927162 -1.594337 -0.846296
5.344687 -1.536882 -0.552436
4.505499 -1.792405 -0.669601
4.622288 -1.799193 -0.490426
4.472683 -1.792034 -1.361285
4.776871 -1.697065 -0.945642
4.941407 -1.585786 -1.169179
4.714226 -1.625053 -0.517563
4.642208 -1.685838 -0.764641
5.011734 -1.640787 -1.029366
4.656544 -1.672991 -0.869809
5.165406 -1.567025 -0.479596
4.458724 -1.801261 -1.055064
4.752325 -1.600639 -0.719835
4.544064 -1.748771 -0.566941
4.704211 -1.635574 -1.141457
5.371818 -1.580849 -0.474141
5.373122 -1.481515 -1.200305
5.458590 -1.505143 -0.132072
4.554916 -1.728007 -0.726989
5.019867 -1.625975 -0.916497
5.391459 -1.592603 -0.233491
4.460247 -1.803124 -0.908973
4.634137 -1.800610 -0.554522
5.148918 -1.673582 -0.556203
4.592061 -1.705515 -0.632838
4.859534 -1.691751 -0.434788
4.461127 -1.800486 -0.772882
4.532721 -1.798878 -0.822341
4.565855 -1.721007 -1.225950
4.629769 -1.796601 -0.848890
4.546426 -1.746452 -0.923319
5.135252 -1.684842 -1.128469
4.459973 -1.805922 -0.521655
4.457171 -1.805511 -0.575820
4.618354 -1.803172 -0.761335
5.554596 -1.483171 -0.417354
4.878253 -1.613857 -0.554772
4.857525 -1.637742 -0.792788
4.713241 -1.775341 -0.590073
4.542940 -1.746586 -1.124213
4.629038 -1.800925 -0.628666
4.632900 -1.795824 -0.936248
5.004565 -1.785560 -0.521271
4.768456 -1.698791 -0.822860
5.141651 -1.675105 -0.656699
4.456738 -1.801926 -1.223941
5.692376 -1.591511 -0.132850
5.213060 -1.676430 -0.948805
4.800654 -1.796882 -0.881315
4.954748 -1.690116 -0.870966
5.212137 -1.583383 -0.839678
5.087800 -1.693023 -0.729487
4.648014 -1.799072 -1.007359
4.786263 -1.690426 -0.721258
4.620203 -1.801749 -0.690395
4.692594 -1.784568 -0.779840
5.228273 -1.665700 -0.635187
5.259359 -1.592099 -0.715156
5.053143 -1.687258 -0.599189
5.156842 -1.682972 -0.801469
5.219709 -1.684721 -1.044890
5.049567 -1.784662 -0.603702
4.914639 -1.785608 -0.569620
5.318220 -1.675465 -0.920487
4.862594 -1.785675 -0.928314
4.716241 -1.756713 -0.685670
4.906099 -1.780107 -0.839378
5.313047 -1.679867 -1.013911
5.226735 -1.684914 -0.733237
5.074149 -1.688264 -0.955980
5.295560 -1.583248 -1.028633
5.298140 -1.571853 -0.791867
5.544971 -1.502506 -1.188200
4.809134 -1.790427 -0.621421
4.968502 -1.791269 -0.902823
5.441328 -1.574002 -0.547900
5.215906 -1.566768 -0.607176
5.620667 -1.491221 -0.323747
5.055726 -1.786343 -0.869845
4.800173 -1.792906 -0.709755
4.732386 -1.719487 -1.047824
4.809246 -1.787840 -0.989565
4.714602 -1.791143 -0.977970
5.393944 -1.604011 -1.011528
4.710644 -1.767192 -0.887392
5.328987 -1.671599 -0.625663
4.777493 -1.796414 -0.797181
4.964359 -1.788297 -0.634122
4.932385 -1.787301 -0.982197
5.277501 -1.589257 -0.926665
5.305070 -1.574134 -0.627538
5.399289 -1.681381 -0.867019
4.823433 -1.791423 -1.059950
4.847018 -1.794642 -0.783172
5.502149 -1.528946 -0.488506
4.877061 -1.784301 -0.669379
5.329597 -1.665977 -0.807156
4.991374 -1.787033 -0.797451
5.630452 -1.528581 -0.575745
5.496253 -1.565052 -0.637714
5.398837 -1.574015 -0.642425
5.031402 -1.778432 -0.955295
4.950039 -1.787846 -0.729286
5.037676 -1.773317 -1.036743
5.391802 -1.601150 -0.736448
5.394241 -1.593855 -0.915788
5.682196 -1.485476 -0.397558
5.216743 -1.783366 -0.966938
5.031369 -1.790909 -0.695796
5.618858 -1.475309 -0.475798
5.425713 -1.522013 -1.044232
5.531216 -1.493275 -1.074271
5.461909 -1.509142 -1.160166
5.146918 -1.671164 -0.893846
4.899435 -1.705691 -0.750568
5.501935 -1.591850 -1.001498
5.235906 -1.461077 -1.276279
5.121632 -1.782663 -0.671412
5.504656 -1.682779 -0.834527
5.427953 -1.674502 -0.670809
5.340065 -1.518041 -0.980035
5.249977 -1.672751 -0.844858
5.160100 -1.780687 -0.594622
5.133877 -1.781991 -0.930173
5.411146 -1.771965 -0.570306
5.136196 -1.784158 -1.013980
5.161011 -1.789487 -0.768609
5.149780 -1.784683 -0.850284
5.390707 -1.787078 -1.073604
5.425718 -1.587199 -0.818101
5.492867 -1.587402 -1.092603
5.421477 -1.460634 -0.980511
5.338693 -1.521075 -0.706395
5.470436 -1.526479 -0.723971
5.465605 -1.443977 -0.537583
5.327234 -1.680707 -0.716255
5.390884 -1.598580 -1.117319
5.292146 -1.785190 -1.026227
4.623975 -1.797633 -1.068337
5.203688 -1.784236 -0.698667
5.075383 -1.792332 -0.774122
5.418436 -1.691717 -0.984663
5.601713 -1.558994 -1.078721
5.592247 -1.503919 -0.686521
5.669806 -1.493413 -0.776648
5.475230 -1.496257 -0.827751
5.621880 -1.499769 -1.276260
5.486099 -1.660332 -0.920510
5.603570 -1.590629 -0.992809
5.698870 -1.462893 -0.603013
5.545676 -1.474922 -0.754853
5.585499 -1.441756 -1.137161
5.342394 -1.776940 -0.802949
5.304511 -1.779531 -0.930626
5.543844 -1.572805 -0.558983
5.512765 -1.668543 -0.631259
5.344306 -1.779188 -0.629841
5.591221 -1.579618 -0.766461
5.439493 -1.688387 -1.077494
5.474523 -1.546698 -0.924451
5.286341 -1.786574 -0.712187
5.526332 -1.491413 -0.983887
5.238991 -1.775244 -0.875796
5.591929 -1.587261 -0.655970
5.620474 -1.486792 -0.986847
5.683901 -1.587006 -0.641756
5.581599 -1.550294 -0.909094
5.255256 -1.780541 -0.797197
5.370581 -1.779812 -0.879030
5.437790 -1.782244 -0.656552
5.568039 -1.596250 -1.153617
5.751998 -1.543191 -1.222107
5.658126 -1.479178 -1.080175
5.704686 -1.497005 -0.512085
5.214056 -1.786822 -1.069055
5.593694 -1.649881 -0.907833
5.588720 -1.492744 -0.827793
4.914449 -1.784486 -1.055874
5.374856 -1.787160 -0.991358
5.622909 -1.670924 -1.056879
5.371825 -1.783859 -0.717977
